,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
175,1.4,Idioms & Phrases,To make one’s blood boil,To make somebody furious,To develop fever,To get excited,To make someone nervous,C,Select the alternative which best expresses the meaning of the idiom/phrase.
176,1.4,Idioms & Phrases,A little gush of gratitude,Gradual recovery,Friendly feeling,Excessive labour,Excessive enthusiasm,B,Select the alternative which best expresses the meaning of the idiom/phrase.
177,1.4,Idioms & Phrases,To lose ground ,To become less powerful,To become less popular,To lose fountain,To be without a leader,B,Select the alternative which best expresses the meaning of the idiom/phrase.
178,1.4,Idioms & Phrases,To see red,Get broke,Get angry,Feel lucky,Become rich,B,Select the alternative which best expresses the meaning of the idiom/phrase.
179,1.4,Idioms & Phrases,In the nick of time,In an unexpected time,After some time,At a time when it was too late,Precisely in the right time,C,Select the alternative which best expresses the meaning of the idiom/phrase.
180,1.4,Idioms & Phrases,Out of the question,Feasible,Impracticable,Possible,Impossible,D,Select the alternative which best expresses the meaning of the idiom/phrase.
181,1.4,Idioms & Phrases,The stage has been set,The conditions are beyond control,The platform for meeting is ready,The situation is getting worse,The situation is conducive,D,Select the alternative which best expresses the meaning of the idiom/phrase.
182,1.4,Idioms & Phrases,On this side of the grave,Outside the grave,By the side of the grave,In this world,Before going to grave,C,Select the alternative which best expresses the meaning of the idiom/phrase.
183,1.4,Idioms & Phrases,To play havoc with,To ruin,To alter,To swallow,To affect,A,Select the alternative which best expresses the meaning of the idiom/phrase.
184,1.4,Idioms & Phrases,Herculean task ,An easy puzzle,A good contest,A difficult thing,A hurried job,C,Select the alternative which best expresses the meaning of the idiom/phrase.
185,1.4,Idioms & Phrases,A red letter day,An unimportant day,A festival occasion,An important day,An insignificant occasion,C,Select the alternative which best expresses the meaning of the idiom/phrase.
186,1.4,Idioms & Phrases,A bone of contention,A matter of dispute,A settle quarrel,Food for thought,Competition,A,Select the alternative which best expresses the meaning of the idiom/phrase.
187,1.4,Idioms & Phrases,To give currency,To make publicly known,To misinterpret,To bestow importance,To originate,B,Select the alternative which best expresses the meaning of the idiom/phrase.
188,1.4,Idioms & Phrases,From the blue,All of a sudden,Knowingly,Continuously,As a slow ball,A,Select the alternative which best expresses the meaning of the idiom/phrase.
189,1.4,Idioms & Phrases,To keep one’s finger crossed,To wait expectantly,To act in a hostile manner,To interfere in unnecessary,To keep out of any danger,A,Select the alternative which best expresses the meaning of the idiom/phrase.
190,1.4,Idioms & Phrases,At the eleventh hour,To be well in time,To do things at 11 O’clock,To be lazy by temperament,To do things at the last moment,D,Select the alternative which best expresses the meaning of the idiom/phrase.
191,1.4,Idioms & Phrases,Long run,Eventually,After much hard work,After running an athletic race,With God’s help,A,Select the alternative which best expresses the meaning of the idiom/phrase.
192,1.4,Idioms & Phrases,To call a spade a spade,To be biased,To be impartial,To be frank,To be a hypocrite,C,Select the alternative which best expresses the meaning of the idiom/phrase.
193,1.4,Idioms & Phrases,To turn a deaf ear,To show one’s deaf ear to a doctor,To disregard totally,To turn one’s ear towards somebody,Unable to listen to,B,Select the alternative which best expresses the meaning of the idiom/phrase.
194,1.4,Idioms & Phrases,Fool’s paradise,Heaven,An entirely false understanding ,An urban slum,Hell,B,Select the alternative which best expresses the meaning of the idiom/phrase.
195,1.4,Idioms & Phrases,Laughing stock,A collection of jokes,One who had made money in stock market,One who laughs at others,An object of ridicule,D,Select the alternative which best expresses the meaning of the idiom/phrase.
196,1.4,Idioms & Phrases,Half-hearted,Uneconomical,Unhelpful,Unenthusiastic,Reckless,C,Select the alternative which best expresses the meaning of the idiom/phrase.
197,1.4,Idioms & Phrases,Add fuel to the flame / fire,Excite,Exhort,Incite,Exert,A,Select the alternative which best expresses the meaning of the idiom/phrase.
198,1.4,Idioms & Phrases,Lose your head,Get angry,Get a headache,Be embarrassed,Shave your hair,A,Select the alternative which best expresses the meaning of the idiom/phrase.
199,1.4,Idioms & Phrases,To speak one’s mind,To be frank and honest,To think aloud,To talk about one’s ideas,To express one’s thoughts,D,Select the alternative which best expresses the meaning of the idiom/phrase.
200,1.4,Idioms & Phrases,To make a mountain of a molehill,To make advantage of a small thing,To give great importance to little things,To get into trouble,To see a thing with prejudiced mind,B,Select the alternative which best expresses the meaning of the idiom/phrase.
201,1.4,Idioms & Phrases,Hand in glove,In close relationship,Non-cooperative,Critical,On bad terms,A,Select the alternative which best expresses the meaning of the idiom/phrase.
202,1.4,Idioms & Phrases,To add fuel to the fire,To make matters bright,To cause additional anger,To bring matters to a conclusion,To start a revolt,B,Select the alternative which best expresses the meaning of the idiom/phrase.
203,1.4,Idioms & Phrases,Wear and tear,A brand name,Damage,Lot of sorrow,A warning,B,Select the alternative which best expresses the meaning of the idiom/phrase.
204,1.4,Idioms & Phrases,A bolt from the blue,Imaginary,Unexpected,Forbidden,Heavenly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
205,1.4,Idioms & Phrases,Sailing in the same boat,Sailing together in the same boat,Sharing the financial and social condition,Being in the same difficult situation,Getting rid of the difficult situation,C,Select the alternative which best expresses the meaning of the idiom/phrase.
206,1.4,Idioms & Phrases,Gift of the gab,Ability to speak well,Good interpersonal skills,Divine help and guidance,A fierce competitive spirit,A,Select the alternative which best expresses the meaning of the idiom/phrase.
207,1.4,Idioms & Phrases,Keep the wolf from the door,Hunt wild animals,Escape starvation,Get woolen clothes,Walk on ice,B,Select the alternative which best expresses the meaning of the idiom/phrase.
208,1.4,Idioms & Phrases,Soft option,Popular opinion,Popular solution,Easy and agreeable option,Difficult choice,C,Select the alternative which best expresses the meaning of the idiom/phrase.
209,1.4,Idioms & Phrases,To strain every nerve,To make utmost efforts,To feel weak and tired,To be a diligent worker,To be methodical in work,A,Select the alternative which best expresses the meaning of the idiom/phrase.
210,1.4,Idioms & Phrases,To flog a dead horse,To whip a dead horse,To attempt to do the impossible,Waste one’s efforts,To take advantage of a weakness,C,Select the alternative which best expresses the meaning of the idiom/phrase.
211,1.4,Idioms & Phrases,To show a clean pair of heels,To hide,To escape,To pursue,To follow,B,Select the alternative which best expresses the meaning of the idiom/phrase.
212,1.4,Idioms & Phrases,To die in harness,Premeditated murder,Dying young in an accident,To die while in service,To be taken by surprise,C,Select the alternative which best expresses the meaning of the idiom/phrase.
213,1.4,Idioms & Phrases,To feather one’s nest,To make a residential house,Something that lasts for a short time,To profit a dishonest way,None of the above,D,Select the alternative which best expresses the meaning of the idiom/phrase.
214,1.4,Idioms & Phrases,Cold comfort,Absurdity,Deception,Slight satisfaction,Foolish proposal,C,Select the alternative which best expresses the meaning of the idiom/phrase.
215,1.4,Idioms & Phrases,To be all at sea,A family voyage,Lost and confused,In the middle of the ocean,A string of islands,B,Select the alternative which best expresses the meaning of the idiom/phrase.
216,1.4,Idioms & Phrases,A bolt from the blue,A delayed event,An inexplicable event,An unexpected event,An unpleasant event,C,Select the alternative which best expresses the meaning of the idiom/phrase.
217,1.4,Idioms & Phrases,To bite the dust,Eat voraciously,Have nothing to eat,Eat roots,None of the above,D,Select the alternative which best expresses the meaning of the idiom/phrase.
218,1.4,Idioms & Phrases,To take to one’s heels,To walk slowly,To run away,To march forward,To hop and jump,B,Select the alternative which best expresses the meaning of the idiom/phrase.
219,1.4,Idioms & Phrases,A damp squib,Rainy weather,A disappointing result,A skirt in a laundry,None of the above,B,Select the alternative which best expresses the meaning of the idiom/phrase.
220,1.4,Idioms & Phrases,In cold blood,Angrily,Deliberately,Excitedly,Slowly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
221,1.4,Idioms & Phrases,To take someone for a ride,To give a ride to someone,To deceive someone,To be indifferent,To disclose a secret,B,Select the alternative which best expresses the meaning of the idiom/phrase.
222,1.4,Idioms & Phrases,To move heaven and earth,To cause an earthquake,To try everything possible,To pray to all Gods,To travel in a rocket,B,Select the alternative which best expresses the meaning of the idiom/phrase.
223,1.4,Idioms & Phrases,To smell a rat,To smell foul,To see a rat,To chase a rat,To be suspicious,D,Select the alternative which best expresses the meaning of the idiom/phrase.
224,1.4,Idioms & Phrases,To face the music,To enjoy a musical recital,To bear the consequences,To live in a pleasant atmosphere,To have a difficult time,B,Select the alternative which best expresses the meaning of the idiom/phrase.
225,1.4,Idioms & Phrases,To take to heart,To be encouraged,To grieve-over,To like,To hate,B,Select the alternative which best expresses the meaning of the idiom/phrase.
226,1.4,Idioms & Phrases,Yeoman’s service,Medical help,Excellent work,Social work,Hard work,B,Select the alternative which best expresses the meaning of the idiom/phrase.
227,1.4,Idioms & Phrases,To call it a day,To conclude proceedings,To initiate proceedings,To work through the day,None of the above,A,Select the alternative which best expresses the meaning of the idiom/phrase.
228,1.4,Idioms & Phrases,To put up with,To accommodate if,To adjust,To understand,To tolerate,D,Select the alternative which best expresses the meaning of the idiom/phrase.
229,1.4,Idioms & Phrases,Bolt from the blue,A complete surprise,An unexpected difficulty,An unexpected disaster,A streak of lightning,C,Select the alternative which best expresses the meaning of the idiom/phrase.
230,1.4,Idioms & Phrases,Banging one’s head against a wall,Trying to do something impossible,Injuring oneself in the attempt,Getting frustrated and tired,Showing one’s helplessness,A,Select the alternative which best expresses the meaning of the idiom/phrase.
231,1.4,Idioms & Phrases,Pulled up for,Scolded,Punished,Pampered,Expelled,A,Select the alternative which best expresses the meaning of the idiom/phrase.
232,1.4,Idioms & Phrases,Put up with the,Respond to,Bear,Hear,Fight with,B,Select the alternative which best expresses the meaning of the idiom/phrase.
233,1.4,Idioms & Phrases,Give in,Accede,Yield,Oblige,Conform,B,Select the alternative which best expresses the meaning of the idiom/phrase.
234,1.4,Idioms & Phrases,Ride rough shod over,Deal unkindly with,Take for granted,Be hamhanded with,Exploit wilfully,A,Select the alternative which best expresses the meaning of the idiom/phrase.
235,1.4,Idioms & Phrases,Send him to Coventry,Transfer him,Commend him,Boycott him,Dismiss him,C,Select the alternative which best expresses the meaning of the idiom/phrase.
236,1.4,Idioms & Phrases,Down in the mouth,Unable to speak,Very depressed,Very angry,Very confused,B,Select the alternative which best expresses the meaning of the idiom/phrase.
237,1.4,Idioms & Phrases,To drink life to the lees,To have the best of fun and fortune,To enjoy a life of drinking and dancing,To have a life full of adventures,To have the best of life,C,Select the alternative which best expresses the meaning of the idiom/phrase.
238,1.4,Idioms & Phrases,Gave up the ghost,Left the ghost,Lived like a ghost,Invited ghost,Died,D,Select the alternative which best expresses the meaning of the idiom/phrase.
239,1.4,Idioms & Phrases,A bone of contention,A subject of peace,A subject of trade,A subject of dispute,A subject of exports,C,Select the alternative which best expresses the meaning of the idiom/phrase.
240,1.4,Idioms & Phrases,Turned a deaf ear,Paid no heed,Went far away,Listened carefully,Turned his ear away,A,Select the alternative which best expresses the meaning of the idiom/phrase.
241,1.4,Idioms & Phrases,Over head and ears in,Carefully,Completely,Brilliantly,Cautiously,B,Select the alternative which best expresses the meaning of the idiom/phrase.
242,1.4,Idioms & Phrases,By fits and starts,Consistently,Irregularly,In high spirits,Enthusiastically,B,Select the alternative which best expresses the meaning of the idiom/phrase.
243,1.4,Idioms & Phrases,Stand on his feet,To be physically strong,To be independent,To stand erect,To be successful,B,Select the alternative which best expresses the meaning of the idiom/phrase.
244,1.4,Idioms & Phrases,Blowing his own trumpet,Refusing to use anybody else’s trumpet,Playing a tune on the trumpet,Praising himself,Praising himself and others,C,Select the alternative which best expresses the meaning of the idiom/phrase.
245,1.4,Idioms & Phrases,Making hay while the sun shines,Taking advantage of a favourable opportunity,Earning money through dishonest means,Earning money at the cost of others,Taking advantage of the inflationary trends,A,Select the alternative which best expresses the meaning of the idiom/phrase.
246,1.4,Idioms & Phrases,Laid down their arms,Put their arms on the ground,Fought bravely,Surrendered,Became nervous,C,Select the alternative which best expresses the meaning of the idiom/phrase.
247,1.4,Idioms & Phrases,gave vent to their ,To express,To suppress,To emphasise,To dismiss,A,Select the alternative which best expresses the meaning of the idiom/phrase.
248,1.4,Idioms & Phrases,Bear with me,Have patience with,Support,Carry the burden for,Be in control for,A,Select the alternative which best expresses the meaning of the idiom/phrase.
249,1.4,Idioms & Phrases,To cast aspersions,To act as the pillar of support,To raise aspirations,To make unpleasant remarks,To dissolve all the differences,C,Select the alternative which best expresses the meaning of the idiom/phrase.
250,1.4,Idioms & Phrases,On the cards,Impossible,Shocking,Evident,Anticipated,D,Select the alternative which best expresses the meaning of the idiom/phrase.
251,1.4,Idioms & Phrases,Dark horse,An extremely corrupt person,A notorious criminal,An extremely rich person,An unexpected winner,D,Select the alternative which best expresses the meaning of the idiom/phrase.
252,1.4,Idioms & Phrases,To turn over a new leaf,To change for the better,To start writing a new book,To work on a novel idea,To clear the garden,C,Select the alternative which best expresses the meaning of the idiom/phrase.
253,1.4,Idioms & Phrases,To keep up one’s appearances,To make public appearances now and then,To maintain one’s looks and appearance,To keep up an outward show of prosperity,To make it appear that one is not concerned,C,Select the alternative which best expresses the meaning of the idiom/phrase.
254,1.4,Idioms & Phrases,Take to one’s heels,To measure upto one’s standard,To shake in one’s shoes,To run away,To run slowly,C,Select the alternative which best expresses the meaning of the idiom/phrase.
255,1.4,Idioms & Phrases,Off and on,Repeatedly,Always,Occasionally,Never,C,Select the alternative which best expresses the meaning of the idiom/phrase.
256,1.4,Idioms & Phrases,To take with a grain of salt,To make more palatable,To take a small quantity of,To make something meaningful,To accept with misgiving,D,Select the alternative which best expresses the meaning of the idiom/phrase.
257,1.4,Idioms & Phrases,To talk through one’s hat,To talk carefully,To talk softly,To talk nonsense,To talk secretively,C,Select the alternative which best expresses the meaning of the idiom/phrase.
258,1.4,Idioms & Phrases,Ins and outs,Entrances and exists,Details and  complexities,Passages and pathways,Rules and regulations,B,Select the alternative which best expresses the meaning of the idiom/phrase.
259,1.4,Idioms & Phrases,Show the white feather,Show signs of cowardice,Act arrogantly,Show intimacy,Act impudently,A,Select the alternative which best expresses the meaning of the idiom/phrase.
260,1.4,Idioms & Phrases,Pillar to post,Went to pillars,Went to post,Went to money lender tried his best,Try possible all efforts,D,Select the alternative which best expresses the meaning of the idiom/phrase.
261,1.4,Idioms & Phrases,Putting the cart before the horse,Treating these indifferently,Behaving thoughtlessly,Dealing with these in haste,Tackling these in the wrong way,D,Select the alternative which best expresses the meaning of the idiom/phrase.
262,1.4,Idioms & Phrases,With one voice,Unanimously,Vehemently,Loudly,Strongly,A,Select the alternative which best expresses the meaning of the idiom/phrase.
263,1.4,Idioms & Phrases,At the first blush,First attempt,Sight,First step,First phase,B,Select the alternative which best expresses the meaning of the idiom/phrase.
264,1.4,Idioms & Phrases,All Greek,Strange,Incomprehensible,Inaudible,Uninteresting,B,Select the alternative which best expresses the meaning of the idiom/phrase.
265,1.4,Idioms & Phrases,Looked blank,Was without any emotion,Was puzzled and surprised,Was uninterested,Was unhappy,C,Select the alternative which best expresses the meaning of the idiom/phrase.
266,1.4,Idioms & Phrases,Trumped up,Translated,Sang with the music of a trumpet,Concocted,Copied,C,Select the alternative which best expresses the meaning of the idiom/phrase.
267,1.4,Idioms & Phrases,The gift of the gab,Gifts from many people,A lot of money,A talent for speaking,A good memory,C,Select the alternative which best expresses the meaning of the idiom/phrase.
268,1.4,Idioms & Phrases,Passed himself off,Described himself,Deceived everyone,Disguised himself,Was regarded,C,Select the alternative which best expresses the meaning of the idiom/phrase.
269,1.4,Idioms & Phrases,Came out of his shell,Appeared suddenly,Became more sociable,Became a loser,Removed his clothes,A,Select the alternative which best expresses the meaning of the idiom/phrase.
270,1.4,Idioms & Phrases,Playing to the gallery,Adopting cheap tactics,Befooling the common man,Fighting for votes,Appeasing the masses,D,Select the alternative which best expresses the meaning of the idiom/phrase.
271,1.4,Idioms & Phrases,His blood ran cold,He was frightened,He was horrified,He was disgusted,He was depressed,A,Select the alternative which best expresses the meaning of the idiom/phrase.
272,1.4,Idioms & Phrases,A man in the street,An ordinary person,An illiterate person,An unknown person,A stranger,A,Select the alternative which best expresses the meaning of the idiom/phrase.
273,1.4,Idioms & Phrases,Hadn’t a leg to stand on,Had been injured in an accident,Was lame,Did not have much hope of getting it,Would have to wait for some time,C,Select the alternative which best expresses the meaning of the idiom/phrase.
274,1.4,Idioms & Phrases,At sixes and sevens,In groups of sixes and sevens,In disagreement,Playing a game,None of the above,B,Select the alternative which best expresses the meaning of the idiom/phrase.
275,1.4,Idioms & Phrases,By fits and starts,Finally,Hastily,Irregularly,Impulsively,C,Select the alternative which best expresses the meaning of the idiom/phrase.
276,1.4,Idioms & Phrases,Fly a kite,Detect the facts,Please the children,Test public opinion,Enter into an agreement,C,Select the alternative which best expresses the meaning of the idiom/phrase.
277,1.4,Idioms & Phrases,The Achilles’ heel,Major factor,Satisfactory element,Weak point,Cause of failure,C,Select the alternative which best expresses the meaning of the idiom/phrase.
278,1.4,Idioms & Phrases,Free for all,Everyone got something free,Uncontrollable situation,Free entrance for all,Fight for freedom,B,Select the alternative which best expresses the meaning of the idiom/phrase.
279,1.4,Idioms & Phrases,Cannot play second fiddle,Cannot play the first fiddle,Cannot lead other people,Cannot play a subordinate role,Cannot play any other fiddle,C,Select the alternative which best expresses the meaning of the idiom/phrase.
280,1.4,Idioms & Phrases,Cock and bull stories,Stories of birds and animals,Unbelievable stories,Stories dealing with fight,Stories of adventure,B,Select the alternative which best expresses the meaning of the idiom/phrase.
281,1.4,Idioms & Phrases,I have him a piece of my mind,Complained to him,Advised him,Scolded him,Warned him,C,Select the alternative which best expresses the meaning of the idiom/phrase.
282,1.4,Idioms & Phrases,Play ducks and drakes with,Destroy,Save,Bet,Waste,D,Select the alternative which best expresses the meaning of the idiom/phrase.
283,1.4,Idioms & Phrases,Wild goose chase,Tight competition,Surprising result,Horrible experience,Hopeless search,D,Select the alternative which best expresses the meaning of the idiom/phrase.
284,1.4,Idioms & Phrases,Fell into line,Stood in a line,Turned straight,Failed to behave properly,Became orderly,D,Select the alternative which best expresses the meaning of the idiom/phrase.
285,1.4,Idioms & Phrases,Made amends for,Repented for,Compensated for,Forgotten about,Suffered for,B,Select the alternative which best expresses the meaning of the idiom/phrase.
286,1.4,Idioms & Phrases,Read for the bar,Studied to become a barrister,Studied to become a barman,Studied to become a judge,Studied to become a courtier,A,Select the alternative which best expresses the meaning of the idiom/phrase.
287,1.4,Idioms & Phrases,Bear the palm,Are the leaders,Are the donors,Are pre-eminent,Are reforms,C,Select the alternative which best expresses the meaning of the idiom/phrase.
288,1.4,Idioms & Phrases,Carry favour with,Get obligation from,Pick up quarrel with,Flatter,Take under advantage from,C,Select the alternative which best expresses the meaning of the idiom/phrase.
289,1.4,Idioms & Phrases,Let the cat out of the bag,Spoilt the party with a cat,Gave her a party himself,Told her about it unintentionally,Prevented her from attending it,C,Select the alternative which best expresses the meaning of the idiom/phrase.
290,1.4,Idioms & Phrases,Read between the lines,Read the lines with great speed,Interpret the lines wrongly,Find more meaning than the words appear to express,Read a text line-by-line slowly,C,Select the alternative which best expresses the meaning of the idiom/phrase.
291,1.4,Idioms & Phrases,"Cut him off, without a shilling",Disinherited him,Snubbed him,Gave him only a shilling,Set him away with a shilling,A,Select the alternative which best expresses the meaning of the idiom/phrase.
292,1.4,Idioms & Phrases,Fell through,Came out successfully,Had a step fall,Was shattered,Failed,D,Select the alternative which best expresses the meaning of the idiom/phrase.
293,1.4,Idioms & Phrases,Has too many irons in the fire,Is engaged in too many enterprises at the same time,Has several problems,Has many ideas in his head,Has a fire burning constantly in his house,A,Select the alternative which best expresses the meaning of the idiom/phrase.
294,1.4,Idioms & Phrases,the man in the street,The homeless man,The ordinary man,The man who works on the street,The man who repairs roads,B,Select the alternative which best expresses the meaning of the idiom/phrase.
295,1.4,Idioms & Phrases,Put his foot down,Asserted his authority,Kicked them,Stepped out,Came downstairs,A,Select the alternative which best expresses the meaning of the idiom/phrase.
296,1.4,Idioms & Phrases,Threw down the glove,Accepted defeat,Rejected the prize,Resorted to wrong tactics,Gave a challenge,D,Select the alternative which best expresses the meaning of the idiom/phrase.
297,1.4,Idioms & Phrases,Fought to the bitter end,Fought to the last point of enemy’s position,Died fighting,Carried on a contest regardless of the consequences,Fought a losing battle,C,Select the alternative which best expresses the meaning of the idiom/phrase.
298,1.4,Idioms & Phrases,To catch up with,To compete with,To come to their level,To overtake them,To hold them and stop,B,Select the alternative which best expresses the meaning of the idiom/phrase.
299,1.4,Idioms & Phrases,Storm in a tea cup,Important matter dealt with ease,Hot tea being served,Commotion over a trivial matter,Confusion and chaos,C,Select the alternative which best expresses the meaning of the idiom/phrase.
300,1.4,Idioms & Phrases,Set their face against,Became enemies,Turned away from,Faced difficulty,Opposed strongly,D,Select the alternative which best expresses the meaning of the idiom/phrase.
301,1.4,Idioms & Phrases,Curying favour with America,Pleasing,Favouring,Obliging,Ingratiating itself with,B,Select the alternative which best expresses the meaning of the idiom/phrase.
302,1.4,Idioms & Phrases,To mince matters,To confuse issue,To say something mildly,To mix everything together,To be very modest,A,Select the alternative which best expresses the meaning of the idiom/phrase.
303,1.4,Idioms & Phrases,Take for granted,To consider,To admit,To accept readily,To care for,A,Select the alternative which best expresses the meaning of the idiom/phrase.
304,1.4,Idioms & Phrases,Left high and dry,Wounded,Alone,Depressed,Neglected,D,Select the alternative which best expresses the meaning of the idiom/phrase.
305,1.4,Idioms & Phrases,Turned his head,Made him vain,Made him look back,Changed him completely,Made him think,C,Select the alternative which best expresses the meaning of the idiom/phrase.
306,1.4,Idioms & Phrases,Turns up her nose at,Despises,Loves,Sees no harm in,Can just tolerate,A,Select the alternative which best expresses the meaning of the idiom/phrase.
307,1.4,Idioms & Phrases,Fell back,Fell on the ground,Yielded,Ran back,Turned back,D,Select the alternative which best expresses the meaning of the idiom/phrase.
308,1.4,Idioms & Phrases,Ended in a fiasco,Had no effect,Was an utter failure,Resulted in blood-shed,Was a disaster,B,Select the alternative which best expresses the meaning of the idiom/phrase.
309,1.4,Idioms & Phrases,Close shave as,Serious accident,Close collision,Continuously,Quickly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
310,1.4,Idioms & Phrases,Fits and starts,Slowly,Not regularly,Continuously,Quickly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
311,1.4,Idioms & Phrases,Shook in their shoes,Stamped the ground with their shoes,Showed signs of anger,Trembled with fear,Stood up to salute,C,Select the alternative which best expresses the meaning of the idiom/phrase.
312,1.4,Idioms & Phrases,In high spirits,Full of hope and enthusiasm,Under tremendous stress,Under the influence of liquor,Mentally deranged,A,Select the alternative which best expresses the meaning of the idiom/phrase.
313,1.4,Idioms & Phrases,Sharp practices,Dishonest means,Illegal means,Intelligent decisions,Quick decisions,A,Select the alternative which best expresses the meaning of the idiom/phrase.
314,1.4,Idioms & Phrases,In the good books,A lover of good books,In favour with,Not of the same opinion as,As good as,B,Select the alternative which best expresses the meaning of the idiom/phrase.
315,1.4,Idioms & Phrases,Fed up with,Annoyed,Disgusted,Pleased,Satisfied,B,Select the alternative which best expresses the meaning of the idiom/phrase.
316,1.4,Idioms & Phrases,A white elephant,A rare species of elephants,An expensive gift,A costly but useless possession,A worthless thing,C,Select the alternative which best expresses the meaning of the idiom/phrase.
317,1.4,Idioms & Phrases,Ins and outs,Entry and exit points,Full details,Tactical moves,Complexity of character,B,Select the alternative which best expresses the meaning of the idiom/phrase.
318,1.4,Idioms & Phrases,Went to the winds,Dissipated,Spread all over,Got speed of the winds,Became well-known,A,Select the alternative which best expresses the meaning of the idiom/phrase.
319,1.4,Idioms & Phrases,Carry out,Obey,Communicate,Execute,Modify,C,Select the alternative which best expresses the meaning of the idiom/phrase.
320,1.4,Idioms & Phrases,Spilling the beans,Suppressing the information,Hiding the details,Revealing the information indiscreetly,Spoiling the plans,C,Select the alternative which best expresses the meaning of the idiom/phrase.
321,1.4,Idioms & Phrases,By leaps and bounds,Intermittently,Leisurely,At a rapid pace,At a desired pace,C,Select the alternative which best expresses the meaning of the idiom/phrase.
322,1.4,Idioms & Phrases,Laying off,Dismissal from jobs of,Offering new jobs to,Reduction of workers wages of,Sending on leave,A,Select the alternative which best expresses the meaning of the idiom/phrase.
323,1.4,Idioms & Phrases,“I take thee at the world’,Listen to you carefully,Do not believe you,Feel angry with you,Truly believe you,D,Select the alternative which best expresses the meaning of the idiom/phrase.
324,1.4,Idioms & Phrases,Lay out,Earn,Spend,Distribute,Preserve,B,Select the alternative which best expresses the meaning of the idiom/phrase.
325,1.4,Idioms & Phrases,To go the whole hog,To live there,To do it completely,To go all the way,To go in the dog,B,Select the alternative which best expresses the meaning of the idiom/phrase.
326,1.4,Idioms & Phrases,Bad blood,Jealously,Fight,Angry feeling,Distrust,C,Select the alternative which best expresses the meaning of the idiom/phrase.
327,1.4,Idioms & Phrases,Good Samaritan,A religious person,A helpful person,A citizen of Samaria,A law-abiding citizen,B,Select the alternative which best expresses the meaning of the idiom/phrase.
328,1.4,Idioms & Phrases,Set the record straight,Give a speech,Win party support,Given a correct account,Make a confession,C,Select the alternative which best expresses the meaning of the idiom/phrase.
329,1.4,Idioms & Phrases,Struck a chill to the heart,Caused anger,Caused relief,Aroused fear,Awakened bitterness,C,Select the alternative which best expresses the meaning of the idiom/phrase.
330,1.4,Idioms & Phrases,Within a stone’s throw,Far off,Far away,Very near to,Beside,C,Select the alternative which best expresses the meaning of the idiom/phrase.
331,1.4,Idioms & Phrases,Bone to pick,Reasonable agreement,Cause of quarrel,Cause of doubt,Difference of opinion,B,Select the alternative which best expresses the meaning of the idiom/phrase.
332,1.4,Idioms & Phrases,A red-letter day,A dangerous day,An important day,An eventful day,A formidable day,B,Select the alternative which best expresses the meaning of the idiom/phrase.
333,1.4,Idioms & Phrases,Dropping names,Talking proudly about their family members,Using per names,Hinting at high connections,Talking informally,C,Select the alternative which best expresses the meaning of the idiom/phrase.
334,1.4,Idioms & Phrases,Blue-eyed boys,Royal children,Settled,Foreigners,Favourites,D,Select the alternative which best expresses the meaning of the idiom/phrase.
335,1.4,Idioms & Phrases,Run into,Incurred,Settled,Opened up,Avoided,A,Select the alternative which best expresses the meaning of the idiom/phrase.
336,1.4,Idioms & Phrases,Blow over,Increase,Pass off,Be looked into,Be taken care of,B,Select the alternative which best expresses the meaning of the idiom/phrase.
337,1.4,Idioms & Phrases,To take into account,To obey,To neglect,To consider,To reject,C,Select the alternative which best expresses the meaning of the idiom/phrase.
338,1.4,Idioms & Phrases,Pros and cons,Ups and downs,In and out,Weak and strong,For and against,D,Select the alternative which best expresses the meaning of the idiom/phrase.
339,1.4,Idioms & Phrases,Read between the lines,Read again and again,Understand the hidden meaning,Know the symbols,Look for many meaning,B,Select the alternative which best expresses the meaning of the idiom/phrase.
340,1.4,Idioms & Phrases,To play to the gallery,To give importance to the common man,To try to be sensational,To seek to win approval,To side-track the issue,B,Select the alternative which best expresses the meaning of the idiom/phrase.
341,1.4,Idioms & Phrases,At stake,On trial,Under pressure,In danger,Challenged,C,Select the alternative which best expresses the meaning of the idiom/phrase.
342,1.4,Idioms & Phrases,No love lost between,Stop loving,Not on good terms,Forming a group,Have good understanding,B,Select the alternative which best expresses the meaning of the idiom/phrase.
343,1.4,Idioms & Phrases,Sitting on the fence,Observing the scene,Resting on fence,Hesitating which side to take,Sitting back and enjoying the fun,C,Select the alternative which best expresses the meaning of the idiom/phrase.
344,1.4,Idioms & Phrases,At his beck and call,At rest,At work,His disposal,At their desks,C,Select the alternative which best expresses the meaning of the idiom/phrase.
345,1.4,Idioms & Phrases,In the long run,Permanently,Universally,Occasionally,Ultimately,D,Select the alternative which best expresses the meaning of the idiom/phrase.
346,1.4,Idioms & Phrases,In the good books,Work well for the boss,Praise the boss,In a favour with the boss,Co-operate with boss,C,Select the alternative which best expresses the meaning of the idiom/phrase.
347,1.4,Idioms & Phrases,By leaps and bounds,Very slowly,Very quickly,Irregularly,Very systematically,B,Select the alternative which best expresses the meaning of the idiom/phrase.
