,correct,QuestionLink,category,Direction,optA,optB,optC,optD,sectionType,usedFor,lang,source
12,c,https://image.ibb.co/fN3Vpx/tscan99_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://image.ibb.co/hRHC2H/tscan99_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://image.ibb.co/mJXO9x/tscan99_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://image.ibb.co/eVNehH/tscan99_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://image.ibb.co/gSsO9x/tscan99_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,c,https://image.ibb.co/kK7ZGc/tscan99_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://image.ibb.co/cMVApx/tscan99_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,a,https://image.ibb.co/b57qpx/tscan99_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,b,https://image.ibb.co/iYQzhH/tscan99_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://image.ibb.co/neNO9x/tscan99_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,d,https://image.ibb.co/eLPQNH/tscan99_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://image.ibb.co/npUs2H/tscan99_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://image.ibb.co/b26GUx/tscan99_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,a,https://image.ibb.co/dzc1wc/tscan99_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,c,https://image.ibb.co/jZgi9x/tscan99_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,d,https://image.ibb.co/fLpEGc/tscan99_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,b,https://image.ibb.co/f5AbUx/tscan99_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,b,https://image.ibb.co/ioy8bc/tscan99_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,a,https://image.ibb.co/fbvzhH/tscan99_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,d,https://image.ibb.co/k1X1wc/tscan99_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,c,https://image.ibb.co/k2JKhH/tscan99_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,d,https://image.ibb.co/kBnZGc/tscan99_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,b,https://image.ibb.co/i86Tbc/tscan99_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,d,https://image.ibb.co/hzR5NH/tscan99_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,c,https://image.ibb.co/kqxZGc/tscan_A106_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://image.ibb.co/eKwTbc/tscan_A106_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,c,https://image.ibb.co/cvjgwc/tscan_A106_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,d,https://image.ibb.co/bQd8bc/tscan_A106_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,b,https://image.ibb.co/eWNqpx/tscan_A106_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,d,https://image.ibb.co/mqDKhH/tscan_A106_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,a,https://image.ibb.co/enOwUx/tscan_A106_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,d,https://image.ibb.co/bEqzhH/tscan_A106_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://image.ibb.co/kb9s2H/tscan_A106_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://image.ibb.co/gdowUx/tscan_A106_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://image.ibb.co/jNLApx/tscan_A106_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://image.ibb.co/bQikNH/tscan_A106_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://image.ibb.co/eOxC2H/tscan_A106_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://image.ibb.co/cytVpx/tscan_A106_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,d,https://image.ibb.co/iub5NH/tscan_A106_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://image.ibb.co/dHN1wc/tscan_A106_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,b,https://image.ibb.co/nnPs2H/tscan_A106_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,b,https://image.ibb.co/dZQApx/tscan_A106_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,b,https://image.ibb.co/dgBi9x/tscan_A106_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://image.ibb.co/hg9s2H/tscan_A106_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,b,https://image.ibb.co/e0twUx/tscan_A106_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,d,https://image.ibb.co/bCSehH/tscan_A106_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://image.ibb.co/d9xO9x/tscan_A106_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://image.ibb.co/kzgi9x/tscan_A106_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,d,https://image.ibb.co/huGuGc/tscan_A106_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://image.ibb.co/eqwi9x/tscan_A106_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,a,https://image.ibb.co/iPruGc/tscan_A106_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,c,https://image.ibb.co/fc0obc/tscan_A106_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,b,https://image.ibb.co/gRZs2H/tscan_A106_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://image.ibb.co/m7eQNH/tscan_A106_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,d,https://image.ibb.co/j4yKhH/tscan_A106_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,a,https://image.ibb.co/ew65NH/tscan_A106_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,b,https://image.ibb.co/c18wUx/tscan_A106_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,a,https://image.ibb.co/jhS6Ux/tscan_A106_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,b,https://image.ibb.co/kPJD9x/tscan_A106_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,b,https://image.ibb.co/cQ8D9x/tscan_A106_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,b,https://image.ibb.co/ni0RUx/tscan_A106_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,a,https://image.ibb.co/d0rY9x/tscan_A106_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,a,https://image.ibb.co/nt2Jbc/tscan_A106_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,b,https://image.ibb.co/hcS6Ux/tscan_A106_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,d,https://image.ibb.co/fUnjGc/tscan_A106_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,c,https://image.ibb.co/hfrdbc/tscan_A106_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,c,https://image.ibb.co/iyYrwc/tscan_A106_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,c,https://image.ibb.co/knMdbc/tscan_A106_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,c,https://image.ibb.co/kKzmUx/tscan_A106_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,a,https://image.ibb.co/jwemUx/tscan_A106_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,d,https://image.ibb.co/n9K9hH/tscan_A106_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,c,https://image.ibb.co/bHOPGc/tscan_A106_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,d,https://image.ibb.co/gcQFNH/tscan_A106_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,c,https://image.ibb.co/d5eaNH/tscan_A106_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,c,https://image.ibb.co/ch5t9x/tscan_A106_51.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,c,https://image.ibb.co/gh322H/tscan_A106_52.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,b,https://image.ibb.co/idZmUx/tscan_A107_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,b,https://image.ibb.co/g0orwc/tscan_A107_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,c,https://image.ibb.co/epTPGc/tscan_A107_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,d,https://image.ibb.co/jrAFNH/tscan_A107_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,d,https://image.ibb.co/jWJfpx/tscan_A107_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,d,https://image.ibb.co/jHPLpx/tscan_A107_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,d,https://image.ibb.co/cUEaNH/tscan_A107_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,d,https://image.ibb.co/j3W0px/tscan_A107_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,d,https://image.ibb.co/ewemUx/tscan_A107_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
63,d,https://image.ibb.co/fqRphH/tscan_A107_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,d,https://image.ibb.co/kWn6Ux/tscan_A107_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,a,https://image.ibb.co/eiOfpx/tscan_A107_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,a,https://image.ibb.co/cUJD9x/tscan_A107_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,a,https://image.ibb.co/iiMphH/tscan_A107_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
68,c,https://image.ibb.co/hNjWwc/tscan_A107_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,c,https://image.ibb.co/jC5t9x/tscan_A107_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,a,https://image.ibb.co/g8f4Gc/tscan_A107_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,c,https://image.ibb.co/fNDD9x/tscan_A107_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,c,https://image.ibb.co/eztD9x/tscan_A107_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,c,https://image.ibb.co/coU9hH/tscan_A107_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,d,https://image.ibb.co/jBOD9x/tscan_A107_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,c,https://image.ibb.co/mNnJbc/tscan_A107_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,a,https://image.ibb.co/hP822H/tscan_A107_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,b,https://image.ibb.co/gsKmUx/tscan_A107_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,c,https://image.ibb.co/d3PWwc/tscan_A107_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,a,https://image.ibb.co/mRVh2H/tscan_A107_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,d,https://image.ibb.co/jcWphH/tscan_A107_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,c,https://image.ibb.co/dGkFNH/tscan_A107_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,a,https://image.ibb.co/kZ1Y9x/tscan_A107_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,b,https://image.ibb.co/eJFFNH/tscan_A107_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,c,https://image.ibb.co/eZSUhH/tscan_A107_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,b,https://image.ibb.co/dJ49hH/tscan_A107_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,d,https://image.ibb.co/iqk4Gc/tscan_A107_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,d,https://image.ibb.co/cf99hH/tscan_A107_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,a,https://image.ibb.co/gRQ4Gc/tscan_A107_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,d,https://image.ibb.co/cCZaNH/tscan_A107_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
90,a,https://image.ibb.co/kpah2H/tscan_A107_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
91,a,https://image.ibb.co/mVRphH/tscan_A107_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,a,https://image.ibb.co/ksft9x/tscan_A107_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
93,b,https://image.ibb.co/mfat9x/tscan_A107_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,d,https://image.ibb.co/nh5t9x/tscan_A107_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
95,b,https://image.ibb.co/bYH6Ux/tscan_A107_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
96,a,https://image.ibb.co/ecWphH/tscan_A107_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
97,d,https://image.ibb.co/dcLh2H/tscan_A107_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,b,https://image.ibb.co/fUcUhH/tscan_A107_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,a,https://image.ibb.co/eMZLpx/tscan_A107_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
100,d,https://image.ibb.co/jP2UhH/tscan_A107_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
101,d,https://image.ibb.co/cy3D9x/tscan_A107_51.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
102,d,https://image.ibb.co/hjK9hH/tscan_A107_52.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,d,https://image.ibb.co/ndJ22H/tscan_A107_53.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,d,https://image.ibb.co/cOW0px/tscan_A107_54.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
105,d,https://image.ibb.co/exywUx/tscan_A107_55.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
106,d,https://image.ibb.co/m27C2H/tscan_A107_56.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
107,c,https://image.ibb.co/bPBGUx/tscan_A107_57.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
108,a,https://image.ibb.co/nEtkNH/tscan_A107_58.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
109,d,https://image.ibb.co/gC0obc/tscan_A107_59.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
110,b,https://image.ibb.co/jB0X2H/tscan_A108_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
111,d,https://image.ibb.co/evQMwc/tscan_A108_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
112,a,https://image.ibb.co/eCcZGc/tscan_A108_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
113,c,https://image.ibb.co/cXAzhH/tscan_A108_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
114,b,https://image.ibb.co/b171wc/tscan_A108_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
115,c,https://image.ibb.co/fQ0Mwc/tscan_A108_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
116,d,https://image.ibb.co/cqVzhH/tscan_A108_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
117,d,https://image.ibb.co/mcVMwc/tscan_A108_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
118,b,https://image.ibb.co/hJVX2H/tscan_A108_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
119,d,https://image.ibb.co/izdwUx/tscan_A108_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
120,d,https://image.ibb.co/dV7qpx/tscan_A108_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
121,d,https://image.ibb.co/kMbTbc/tscan_A108_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
122,d,https://image.ibb.co/mPtkNH/tscan_A108_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
123,d,https://image.ibb.co/hQXqpx/tscan_A108_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
124,d,https://image.ibb.co/fOri9x/tscan_A108_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
125,d,https://image.ibb.co/dTsZGc/tscan_A108_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
126,c,https://image.ibb.co/nakX2H/tscan_A108_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
127,a,https://image.ibb.co/hUOKhH/tscan_A108_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
128,d,https://image.ibb.co/cgPgwc/tscan_A108_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
129,b,https://image.ibb.co/d9aApx/tscan_A108_022.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
130,b,https://image.ibb.co/hXTVpx/tscan_A108_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
131,d,https://image.ibb.co/nKp39x/tscan_A108_023.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
132,d,https://image.ibb.co/iDfX2H/tscan_A108_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
133,a,https://image.ibb.co/iED8bc/tscan_A108_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
134,a,https://image.ibb.co/fuNO9x/tscan_A108_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
135,b,https://image.ibb.co/bwxqpx/tscan_A108_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
136,d,https://image.ibb.co/kp7ZGc/tscan_A108_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
137,c,https://image.ibb.co/eeXehH/tscan_A108_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
138,a,https://image.ibb.co/bU7ZGc/tscan_A108_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
